CustomerID,Tenure,MonthlyCharges,TotalCharges,CustomerType,Region,SupportTickets,LoginFrequency,Churn
CUST0001,34,89.50,3043.00,Premium,North,2,22,No
CUST0002,8,45.20,361.60,Basic,South,7,3,Yes
CUST0003,52,120.00,6240.00,Enterprise,East,1,28,No
CUST0004,3,25.50,76.50,Basic,West,9,2,Yes
CUST0005,41,78.30,3209.30,Premium,North,3,18,No
CUST0006,15,95.00,1425.00,Premium,South,6,8,Yes
CUST0007,48,110.50,5304.00,Enterprise,East,0,25,No
CUST0008,6,38.70,232.20,Basic,West,8,4,Yes
CUST0009,29,67.80,1966.20,Premium,North,2,20,No
CUST0010,12,52.40,628.80,Basic,South,5,9,Yes
CUST0011,55,125.00,6875.00,Enterprise,East,1,30,No
CUST0012,2,22.30,44.60,Basic,West,10,1,Yes
CUST0013,38,82.60,3138.80,Premium,North,4,16,No
CUST0014,19,58.90,1119.10,Basic,South,5,11,Yes
CUST0015,45,105.20,4734.00,Enterprise,East,2,24,No
CUST0016,7,41.80,292.60,Basic,West,7,5,Yes
CUST0017,31,73.50,2278.50,Premium,North,3,19,No
CUST0018,10,48.60,486.00,Basic,South,6,7,Yes
CUST0019,50,115.80,5790.00,Enterprise,East,1,27,No
CUST0020,5,35.20,176.00,Basic,West,9,3,Yes
CUST0021,42,91.40,3838.80,Premium,North,2,21,No
CUST0022,14,55.70,779.80,Basic,South,6,10,Yes
CUST0023,47,108.90,5118.30,Enterprise,East,1,26,No
CUST0024,4,28.40,113.60,Basic,West,8,2,Yes
CUST0025,36,79.20,2851.20,Premium,North,3,17,No
CUST0026,11,50.30,553.30,Basic,South,7,8,Yes
CUST0027,53,118.60,6285.80,Enterprise,East,0,29,No
CUST0028,9,44.50,400.50,Basic,West,8,6,Yes
CUST0029,33,75.80,2501.40,Premium,North,2,20,No
CUST0030,13,54.20,704.60,Basic,South,5,9,Yes
CUST0031,46,112.30,5165.80,Enterprise,East,1,25,No
CUST0032,6,39.80,238.80,Basic,West,9,4,Yes
CUST0033,40,86.70,3468.00,Premium,North,3,19,No
CUST0034,16,60.50,968.00,Basic,South,6,12,No
CUST0035,49,114.20,5595.80,Enterprise,East,2,27,No
CUST0036,8,43.60,348.80,Basic,West,7,5,Yes
CUST0037,35,80.40,2814.00,Premium,North,2,18,No
CUST0038,18,56.80,1022.40,Basic,South,5,13,No
CUST0039,51,117.50,5992.50,Enterprise,East,1,28,No
CUST0040,7,40.20,281.40,Basic,West,8,4,Yes
CUST0041,39,84.30,3287.70,Premium,North,3,20,No
